Country,BaselinePredCO2_percap,DeltaCO2_per1ppRenewables,BaselineClsProb,PredCO2_plus20pp,ClsProb_plus20pp,PredCO2_plus10pp,PctReduction_plus10pp,ClsProb_plus10pp,PredCO2_plus5pp,ClsProb_plus5pp
"Montenegro",7726569.44667087,0,0,7726569.44667087,0,7726569.44667087,0,0,7726569.44667087,0
"Morocco",196571870.329323,0,0,196571870.329323,0,196571870.329323,0,0,196571870.329323,0
"Mozambique",23058912.2902997,0,0,23058912.2902997,0,23058912.2902997,0,0,23058912.2902997,0
"Myanmar",127976207.860694,0,0,127976207.860694,0,127976207.860694,0,0,127976207.860694,0
"Namibia",17143839.3523067,0,0,17143839.3523067,0,17143839.3523067,0,0,17143839.3523067,0
"Nauru",201718.372172635,0,0,201718.372172635,0,201718.372172635,0,0,201718.372172635,0
"Nepal",54156732.3640684,0,0,54156732.3640684,0,54156732.3640684,0,0,54156732.3640684,0
"Netherlands",1510586963.70104,0,0,1510586963.70104,0,1510586963.70104,0,0,1510586963.70104,0
"New Caledonia",15314862.3442611,0,0,15314862.3442611,0,15314862.3442611,0,0,15314862.3442611,0
"New Zealand",345070956.998477,0,0,345070956.998477,0,345070956.998477,0,0,345070956.998477,0
"Nicaragua",20614599.3853577,0,0,20614599.3853577,0,20614599.3853577,0,0,20614599.3853577,0
"Niger",22263955.2483719,0,0,22263955.2483719,0,22263955.2483719,0,0,22263955.2483719,0
"Nigeria",700087291.015661,0,0,700087291.015661,0,700087291.015661,0,0,700087291.015661,0
"North America",37283027595.5842,0,0,37283027595.5842,0,37283027595.5842,0,0,37283027595.5842,0
"North Macedonia",20022738.5427143,0,0,20022738.5427143,0,20022738.5427143,0,0,20022738.5427143,0
"Northern Mariana Islands",1402771.21296209,0,0,1402771.21296209,0,1402771.21296209,0,0,1402771.21296209,0
"Norway",595502420.966542,0,0,595502420.966542,0,595502420.966542,0,0,595502420.966542,0
"OECD members",85850504464.2901,0,0,85850504464.2901,0,85850504464.2901,0,0,85850504464.2901,0
"Oman",122960222.67736,0,0,122960222.67736,0,122960222.67736,0,0,122960222.67736,0
"Other small states",235915297.003415,0,0,235915297.003415,0,235915297.003415,0,0,235915297.003415,0
"Pacific island small states",15413324.7369689,0,0,15413324.7369689,0,15413324.7369689,0,0,15413324.7369689,0
"Pakistan",486637400.81142,0,0,486637400.81142,0,486637400.81142,0,0,486637400.81142,0
"Panama",92427062.6477146,0,0,92427062.6477146,0,92427062.6477146,0,0,92427062.6477146,0
"Papua New Guinea",38630352.6282039,0,0,38630352.6282039,0,38630352.6282039,0,0,38630352.6282039,0
"Paraguay",57393988.1322606,0,0,57393988.1322606,0,57393988.1322606,0,0,57393988.1322606,0
"Peru",326248795.755372,0,0,326248795.755372,0,326248795.755372,0,0,326248795.755372,0
"Philippines",585974149.169162,0,0,585974149.169162,0,585974149.169162,0,0,585974149.169162,0
"Poland",981475962.35045,0,0,981475962.35045,0,981475962.35045,0,0,981475962.35045,0
"Portugal",371942615.739662,0,0,371942615.739662,0,371942615.739662,0,0,371942615.739662,0
"Post-demographic dividend",81218663531.1859,0,0,81218663531.1859,0,81218663531.1859,0,0,81218663531.1859,0
"Pre-demographic dividend",2136376631.0104,0,0,2136376631.0104,0,2136376631.0104,0,0,2136376631.0104,0
"Puerto Rico (US)",167054184.3247,0,0,167054184.3247,0,167054184.3247,0,0,167054184.3247,0
"Qatar",233921380.229273,0,0,233921380.229273,0,233921380.229273,0,0,233921380.229273,0
"Romania",408251061.297447,0,0,408251061.297447,0,408251061.297447,0,0,408251061.297447,0
