PredictedCO2_Base,PredictedCO2_GDP10pct,PctChange
19471070.4142007,19471070.4142007,5.7397311281022e-14
33265108.6088649,33265108.608865,4.4795167720801e-14
31825619.2801521,31825619.2801521,3.51159573581511e-14
63992396.5792794,63992396.5792794,3.49287462035903e-14
86098697.1144603,86098697.1144603,3.46141386414662e-14
106440799.159271,106440799.159271,2.79989652681027e-14
75761686.029863,75761686.029863,1.96684656515881e-14
73782229.0982457,73782229.0982457,2.01961385227408e-14
82107137.9849433,82107137.9849433,1.81484357627716e-14
386016542.637492,386016542.637492,0
841018.880146913,841018.880146917,4.56791840347004e-13
824750.449091413,824750.449091416,4.37571750413801e-13
1534043.60115567,1534043.60115567,3.18729109984084e-13
1936264.79243611,1936264.79243611,3.00618289093784e-13
2134993.86903548,2134993.86903549,3.053525406728e-13
3640111.90351608,3640111.90351609,2.68642483875752e-13
3640111.90241509,3640111.9024151,2.68642483957006e-13
3640111.89855836,3640111.89855837,2.68642484241635e-13
15518562.9177832,15518562.9177832,1.20026909650023e-14
21860281.3761987,21860281.3761987,1.70413648129798e-14
113855746.49918,113855746.49918,0
1216856.84731355,1216856.84731356,7.27083426319189e-13
1385533.59410222,1385533.59410223,6.38567299739849e-13
2652801.57854674,2652801.57854675,3.51071328570936e-13
3194430.9867642,3194430.98676421,3.207002550131e-13
11310078.2752835,11310078.2752835,4.94066911977477e-14
11395182.5029031,11395182.5029031,4.90377003287949e-14
43764742.4367051,43764742.4367051,3.4048323751473e-14
123408018.960586,123408018.960586,2.41494212764355e-14
1037051.72304842,1037051.72304843,7.85792294325609e-13
1230599.60357632,1230599.60357633,6.81123506555676e-13
1041855.02283441,1041855.02283442,6.70431025097263e-13
727336.881209851,727336.881209856,6.24222099627108e-13
822813.189465656,822813.189465661,6.22531848779866e-13
1026229.3423079,1026229.3423079,6.01231304003814e-13
1569157.13821474,1569157.13821475,5.3416595237081e-13
2001180.44506122,2001180.44506123,4.65386605647641e-13
2031382.66621959,2031382.6662196,4.47005640714634e-13
15111047.0912231,15111047.0912231,3.69791412465287e-14
14369152.082354,14369152.082354,3.88884146793541e-14
10139043.2334607,10139043.2334607,3.67420299202176e-14
21234019.2113412,21234019.2113412,1.75439715928684e-14
24844395.2598469,24844395.2598469,1.4994489741043e-14
33030489.2985581,33030489.2985581,2.25566764378785e-14
120371750.006558,120371750.006558,1.23792843362631e-14
176943502.931559,176943502.931559,1.68428463853927e-14
56394035.1483581,56394035.1483582,1.71751405100207e-13
59734872.635874,59734872.6358741,1.74618482896523e-13
45023427.4042494,45023427.4042495,1.65482306134264e-13
54118441.717722,54118441.7177221,1.65206100407374e-13
63416957.0885093,63416957.0885094,1.52731307534716e-13
60131575.6445982,60131575.6445983,1.48685555308773e-13
